k,SSE
6,48935.3831580221
7,45862.42710285999
8,43384.8131527107
9,41276.1589185855
10,39404.31078240931
13,35556.90877694231
15,33661.31301893914
18,31286.93901954032
20,29856.524099754963
25,27262.070834730228
30,25269.391797080534
35,23763.38891341913
40,22575.153755395586
50,20733.11640047768
60,19237.749712897854
70,18074.270301150787
80,17157.726764299478
90,16279.508452430275
100,15603.406066163676
