Group,IQR_1.5,Percentage_IQR_1.5,IQR_2,Percentage_IQR_2,IQR_2.5,Percentage_IQR_2.5,IQR_3,Percentage_IQR_3,IQR_3.5,Percentage_IQR_3.5,IQR_4,Percentage_IQR_4,IQR_4.5,Percentage_IQR_4.5,IQR_5,Percentage_IQR_5,IQR_5.5,Percentage_IQR_5.5,IQR_6,Percentage_IQR_6
movie,187,2.630098452883263,86,1.209563994374121,29,0.4078762306610408,3,0.04219409282700422,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
short,145,4.4753086419753085,68,2.0987654320987654,22,0.6790123456790124,7,0.21604938271604937,1,0.030864197530864196,1,0.030864197530864196,0,0.0,0,0.0,0,0.0,0,0.0
tvEpisode,72,1.1448560979487994,17,0.2703132453490221,2,0.03180155827635554,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMiniSeries,7,2.4390243902439024,1,0.34843205574912894,1,0.34843205574912894,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMovie,10,0.8826125330979699,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSeries,71,4.0664375715922105,31,1.7754868270332187,14,0.8018327605956471,6,0.3436426116838488,2,0.11454753722794961,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvShort,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSpecial,8,4.123711340206185,3,1.5463917525773196,1,0.5154639175257731,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
video,34,3.356367226061204,20,1.9743336623889436,12,1.1846001974333662,5,0.4935834155972359,2,0.19743336623889435,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
