Group,IQR_1.5,Percentage_IQR_1.5,IQR_2,Percentage_IQR_2,IQR_2.5,Percentage_IQR_2.5,IQR_3,Percentage_IQR_3,IQR_3.5,Percentage_IQR_3.5,IQR_4,Percentage_IQR_4,IQR_4.5,Percentage_IQR_4.5,IQR_5,Percentage_IQR_5,IQR_5.5,Percentage_IQR_5.5,IQR_6,Percentage_IQR_6
movie,28,0.4238570996064184,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
short,33,1.4138817480719794,12,0.5141388174807198,4,0.17137960582690662,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvEpisode,109,2.3762807935469805,24,0.5232177894048398,2,0.04360148245040331,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMiniSeries,5,1.9305019305019304,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMovie,42,4.822043628013777,18,2.066590126291619,4,0.4592422502870264,1,0.1148105625717566,1,0.1148105625717566,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSeries,38,2.4312220089571337,13,0.8317338451695457,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvShort,3,6.976744186046512,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSpecial,16,11.03448275862069,12,8.275862068965518,6,4.137931034482759,4,2.7586206896551726,3,2.0689655172413794,2,1.3793103448275863,1,0.6896551724137931,1,0.6896551724137931,1,0.6896551724137931,1,0.6896551724137931
video,33,6.273764258555133,20,3.802281368821293,13,2.4714828897338403,7,1.3307984790874523,3,0.5703422053231939,1,0.19011406844106463,0,0.0,0,0.0,0,0.0,0,0.0
