Group,IQR_1.5,Percentage_IQR_1.5,IQR_2,Percentage_IQR_2,IQR_2.5,Percentage_IQR_2.5,IQR_3,Percentage_IQR_3,IQR_3.5,Percentage_IQR_3.5,IQR_4,Percentage_IQR_4,IQR_4.5,Percentage_IQR_4.5,IQR_5,Percentage_IQR_5,IQR_5.5,Percentage_IQR_5.5,IQR_6,Percentage_IQR_6
movie,105,1.4780405405405406,27,0.3800675675675676,7,0.09853603603603603,2,0.028153153153153154,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
short,5,0.157035175879397,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvEpisode,38,0.6070287539936102,9,0.14376996805111822,2,0.03194888178913738,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMiniSeries,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMovie,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSeries,6,0.3450258769407705,1,0.05750431282346176,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvShort,1,1.7857142857142856,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSpecial,1,0.5154639175257731,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
video,16,1.5888778550148956,5,0.49652432969215493,1,0.09930486593843098,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
