Group,IQR_1.5,Percentage_IQR_1.5,IQR_2,Percentage_IQR_2,IQR_2.5,Percentage_IQR_2.5,IQR_3,Percentage_IQR_3,IQR_3.5,Percentage_IQR_3.5,IQR_4,Percentage_IQR_4,IQR_4.5,Percentage_IQR_4.5,IQR_5,Percentage_IQR_5,IQR_5.5,Percentage_IQR_5.5,IQR_6,Percentage_IQR_6
movie,2,0.02812939521800281,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
short,214,6.604938271604937,132,4.074074074074074,71,2.191358024691358,46,1.4197530864197532,34,1.0493827160493827,17,0.5246913580246914,2,0.06172839506172839,1,0.030864197530864196,0,0.0,0,0.0
tvEpisode,697,11.082843059309907,697,11.082843059309907,697,11.082843059309907,697,11.082843059309907,697,11.082843059309907,697,11.082843059309907,697,11.082843059309907,697,11.082843059309907,697,11.082843059309907,697,11.082843059309907
tvMiniSeries,1,0.34843205574912894,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMovie,9,0.7943512797881729,1,0.088261253309797,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSeries,94,5.383734249713632,34,1.9473081328751431,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvShort,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSpecial,29,14.948453608247423,29,14.948453608247423,29,14.948453608247423,29,14.948453608247423,29,14.948453608247423,29,14.948453608247423,29,14.948453608247423,29,14.948453608247423,29,14.948453608247423,29,14.948453608247423
video,55,5.429417571569595,38,3.751233958538993,30,2.9615004935834155,24,2.3692003948667324,17,1.678183613030602,13,1.2833168805528135,9,0.8884501480750246,9,0.8884501480750246,5,0.4935834155972359,2,0.19743336623889435
