Group,IQR_1.5,Percentage_IQR_1.5,IQR_2,Percentage_IQR_2,IQR_2.5,Percentage_IQR_2.5,IQR_3,Percentage_IQR_3,IQR_3.5,Percentage_IQR_3.5,IQR_4,Percentage_IQR_4,IQR_4.5,Percentage_IQR_4.5,IQR_5,Percentage_IQR_5,IQR_5.5,Percentage_IQR_5.5,IQR_6,Percentage_IQR_6
movie,90,4.392386530014641,58,2.8306490971205465,42,2.049780380673499,27,1.3177159590043925,23,1.1224987798926307,16,0.7808687164470474,14,0.6832601268911664,10,0.4880429477794046,8,0.3904343582235237,8,0.3904343582235237
short,52,7.162534435261708,33,4.545454545454546,28,3.8567493112947657,23,3.1680440771349865,13,1.790633608815427,9,1.2396694214876034,7,0.9641873278236914,3,0.4132231404958678,1,0.13774104683195593,1,0.13774104683195593
tvEpisode,1,5.555555555555555,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMiniSeries,1,1.7241379310344827,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMovie,8,4.705882352941177,5,2.941176470588235,4,2.3529411764705883,3,1.7647058823529411,2,1.1764705882352942,1,0.5882352941176471,1,0.5882352941176471,1,0.5882352941176471,1,0.5882352941176471,1,0.5882352941176471
tvSeries,28,6.557377049180328,23,5.386416861826698,18,4.215456674473068,15,3.51288056206089,13,3.0444964871194378,9,2.107728337236534,6,1.405152224824356,3,0.702576112412178,2,0.468384074941452,2,0.468384074941452
tvShort,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSpecial,1,2.631578947368421,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
video,6,9.090909090909092,3,4.545454545454546,1,1.5151515151515151,1,1.5151515151515151,1,1.5151515151515151,1,1.5151515151515151,1,1.5151515151515151,0,0.0,0,0.0,0,0.0
