Group,IQR_1.5,Percentage_IQR_1.5,IQR_2,Percentage_IQR_2,IQR_2.5,Percentage_IQR_2.5,IQR_3,Percentage_IQR_3,IQR_3.5,Percentage_IQR_3.5,IQR_4,Percentage_IQR_4,IQR_4.5,Percentage_IQR_4.5,IQR_5,Percentage_IQR_5,IQR_5.5,Percentage_IQR_5.5,IQR_6,Percentage_IQR_6
movie,370,5.20393811533052,129,1.8143459915611813,39,0.5485232067510549,21,0.29535864978902954,15,0.21097046413502107,12,0.16877637130801687,9,0.12658227848101267,6,0.08438818565400844,4,0.05625879043600562,3,0.04219409282700422
short,85,2.624266748996604,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvEpisode,79,1.2561615519160438,41,0.6519319446652886,22,0.34981714103991096,5,0.07950389569088886,5,0.07950389569088886,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMiniSeries,1,0.34843205574912894,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvMovie,44,3.8834951456310676,9,0.7943512797881729,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSeries,61,3.493699885452463,44,2.520045819014891,24,1.3745704467353952,17,0.9736540664375716,8,0.45819014891179843,8,0.45819014891179843,2,0.11454753722794961,1,0.057273768613974804,1,0.057273768613974804,0,0.0
tvShort,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
tvSpecial,7,3.608247422680412,5,2.5773195876288657,3,1.5463917525773196,2,1.0309278350515463,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
video,52,5.133267522211254,32,3.1589338598223096,11,1.085883514313919,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
